======================================================================
BELUGA CHALLENGE - LÖSUNGSPROTOKOLL
======================================================================

Problem: problems/problem_90_s132_j137_r8_oc81_f43.json
Lösungsdatum: 11.08.2025 20:02:37
Anzahl Schritte: 10561/20000
Erfolgreicher Abschluss: Ja
Benötigte Zeit: 5 Min 14.3 Sek

======================================================================
AKTIONSSTATISTIK (NACH OPTIMIERUNG)
======================================================================

left_unstack_rack        : 2076 ( 23.7%)
left_stack_rack          : 2082 ( 23.8%)
unload_beluga            :  114 (  1.3%)
right_unstack_rack       : 2090 ( 23.9%)
right_stack_rack         : 2087 ( 23.8%)
deliver_to_hangar        :  103 (  1.2%)
load_beluga              :  107 (  1.2%)
get_from_hangar          :  102 (  1.2%)

======================================================================
OPTIMIERUNG
======================================================================

Ursprüngliche Anzahl Schritte: 10561
Optimierte Anzahl Schritte: 8761
Optimierung/Reduktion: 17.04%

======================================================================
OPTIMIERTE AKTIONSSEQUENZ
======================================================================

  1: left_unstack_rack         | Parameter: rack=5, trailer=0
  2: left_stack_rack           | Parameter: rack=1, trailer=0
  3: unload_beluga             | Parameter: -
  4: left_stack_rack           | Parameter: rack=0, trailer=0
  5: unload_beluga             | Parameter: -
  6: left_stack_rack           | Parameter: rack=0, trailer=0
  7: unload_beluga             | Parameter: -
  8: right_unstack_rack        | Parameter: rack=6, trailer_id=0
  9: right_unstack_rack        | Parameter: rack=6, trailer=1
 10: right_unstack_rack        | Parameter: rack=0, trailer=2
 11: right_stack_rack          | Parameter: rack=1, trailer=2
 12: right_unstack_rack        | Parameter: rack=0, trailer_id=2
 13: left_stack_rack           | Parameter: rack=3, trailer=0
 14: left_unstack_rack         | Parameter: rack=2, trailer_id=0
 15: deliver_to_hangar         | Parameter: hangar=0, trailer_factory=0
 16: right_stack_rack          | Parameter: rack=3, trailer=1
 17: right_stack_rack          | Parameter: rack=5, trailer=2
 18: load_beluga               | Parameter: trailer_beluga=0
 19: left_unstack_rack         | Parameter: rack=7, trailer=0
 20: get_from_hangar           | Parameter: hangar=0, trailer_factory=0
 21: right_stack_rack          | Parameter: rack=6, trailer=0
 22: left_stack_rack           | Parameter: rack=1, trailer=0
 23: left_unstack_rack         | Parameter: rack=3, trailer=0
 24: left_stack_rack           | Parameter: rack=5, trailer=0
 25: left_unstack_rack         | Parameter: rack=3, trailer=0
 26: right_unstack_rack        | Parameter: rack=5, trailer_id=0
 27: left_stack_rack           | Parameter: rack=0, trailer=0
 28: left_unstack_rack         | Parameter: rack=6, trailer=0
 29: deliver_to_hangar         | Parameter: hangar=0, trailer_factory=0
 30: right_unstack_rack        | Parameter: rack=5, trailer_id=0
 31: deliver_to_hangar         | Parameter: hangar=1, trailer_factory=0
 32: right_unstack_rack        | Parameter: rack=1, trailer=0
 33: right_unstack_rack        | Parameter: rack=0, trailer=2
 34: get_from_hangar           | Parameter: hangar=0, trailer_factory=1
 35: right_stack_rack          | Parameter: rack=5, trailer=1
 36: right_unstack_rack        | Parameter: rack=7, trailer=1
 37: left_stack_rack           | Parameter: rack=0, trailer=0
 38: left_unstack_rack         | Parameter: rack=4, trailer=0
 39: right_stack_rack          | Parameter: rack=6, trailer=1
 40: left_stack_rack           | Parameter: rack=1, trailer=0
 41: left_unstack_rack         | Parameter: rack=7, trailer=0
 42: right_stack_rack          | Parameter: rack=0, trailer=0
 43: left_stack_rack           | Parameter: rack=1, trailer=0
 44: left_unstack_rack         | Parameter: rack=7, trailer_id=0
 45: get_from_hangar           | Parameter: hangar=1, trailer_factory=0
 46: right_unstack_rack        | Parameter: rack=4, trailer=1
 47: right_stack_rack          | Parameter: rack=4, trailer=0
 48: load_beluga               | Parameter: trailer_beluga=0
 49: left_unstack_rack         | Parameter: rack=4, trailer=0
 50: right_unstack_rack        | Parameter: rack=2, trailer=0
 51: right_stack_rack          | Parameter: rack=7, trailer=0
 52: right_unstack_rack        | Parameter: rack=6, trailer=0
 53: right_stack_rack          | Parameter: rack=4, trailer=1
 54: right_stack_rack          | Parameter: rack=6, trailer=0
 55: right_unstack_rack        | Parameter: rack=3, trailer=1
 56: left_stack_rack           | Parameter: rack=7, trailer=0
 57: left_unstack_rack         | Parameter: rack=3, trailer=0
 58: left_stack_rack           | Parameter: rack=0, trailer=0
 59: left_unstack_rack         | Parameter: rack=5, trailer=0
 60: right_unstack_rack        | Parameter: rack=6, trailer=0
 61: left_stack_rack           | Parameter: rack=0, trailer=0
 62: left_unstack_rack         | Parameter: rack=1, trailer=0
 63: right_stack_rack          | Parameter: rack=3, trailer=1
 64: right_stack_rack          | Parameter: rack=7, trailer=0
 65: right_unstack_rack        | Parameter: rack=1, trailer=0
 66: right_stack_rack          | Parameter: rack=6, trailer=0
 67: left_stack_rack           | Parameter: rack=6, trailer=0
 68: left_unstack_rack         | Parameter: rack=5, trailer=0
 69: right_unstack_rack        | Parameter: rack=6, trailer=1
 70: right_stack_rack          | Parameter: rack=5, trailer=1
 71: right_unstack_rack        | Parameter: rack=4, trailer=1
 72: right_stack_rack          | Parameter: rack=3, trailer=1
 73: right_unstack_rack        | Parameter: rack=5, trailer=1
 74: left_stack_rack           | Parameter: rack=1, trailer=0
 75: left_unstack_rack         | Parameter: rack=7, trailer=0
 76: right_stack_rack          | Parameter: rack=5, trailer=1
 77: right_unstack_rack        | Parameter: rack=0, trailer=1
 78: right_unstack_rack        | Parameter: rack=4, trailer=0
 79: right_stack_rack          | Parameter: rack=7, trailer=0
 80: right_unstack_rack        | Parameter: rack=4, trailer_id=0
 81: right_stack_rack          | Parameter: rack=7, trailer=1
 82: right_unstack_rack        | Parameter: rack=6, trailer=1
 83: deliver_to_hangar         | Parameter: hangar=0, trailer_factory=0
 84: get_from_hangar           | Parameter: hangar=0, trailer_factory=0
 85: left_stack_rack           | Parameter: rack=5, trailer=0
 86: left_unstack_rack         | Parameter: rack=2, trailer=0
 87: left_stack_rack           | Parameter: rack=7, trailer=0
 88: left_unstack_rack         | Parameter: rack=6, trailer=0
 89: right_stack_rack          | Parameter: rack=6, trailer=2
 90: right_stack_rack          | Parameter: rack=5, trailer=0
 91: right_stack_rack          | Parameter: rack=4, trailer=1
 92: right_unstack_rack        | Parameter: rack=1, trailer=0
 93: right_unstack_rack        | Parameter: rack=5, trailer=1
 94: right_stack_rack          | Parameter: rack=6, trailer=1
 95: right_stack_rack          | Parameter: rack=5, trailer=0
 96: left_stack_rack           | Parameter: rack=5, trailer=0
 97: left_unstack_rack         | Parameter: rack=4, trailer=0
 98: right_unstack_rack        | Parameter: rack=0, trailer=1
 99: right_unstack_rack        | Parameter: rack=2, trailer=2
100: right_unstack_rack        | Parameter: rack=0, trailer=0
101: left_stack_rack           | Parameter: rack=0, trailer=0
102: left_unstack_rack         | Parameter: rack=6, trailer=0
103: right_stack_rack          | Parameter: rack=6, trailer=0
104: right_stack_rack          | Parameter: rack=4, trailer=2
105: left_stack_rack           | Parameter: rack=4, trailer=0
106: left_unstack_rack         | Parameter: rack=1, trailer=0
107: right_unstack_rack        | Parameter: rack=3, trailer=0
108: right_unstack_rack        | Parameter: rack=4, trailer=2
109: right_stack_rack          | Parameter: rack=6, trailer=2
110: right_stack_rack          | Parameter: rack=4, trailer=0
111: right_unstack_rack        | Parameter: rack=3, trailer=0
112: right_unstack_rack        | Parameter: rack=6, trailer=2
113: right_stack_rack          | Parameter: rack=2, trailer=0
114: left_stack_rack           | Parameter: rack=6, trailer=0
115: left_unstack_rack         | Parameter: rack=5, trailer=0
116: right_stack_rack          | Parameter: rack=4, trailer=2
117: left_stack_rack           | Parameter: rack=3, trailer=0
118: left_unstack_rack         | Parameter: rack=7, trailer=0
119: right_stack_rack          | Parameter: rack=4, trailer=1
120: right_unstack_rack        | Parameter: rack=3, trailer=1
121: right_stack_rack          | Parameter: rack=5, trailer=1
122: right_unstack_rack        | Parameter: rack=5, trailer=2
123: left_stack_rack           | Parameter: rack=1, trailer=0
124: left_unstack_rack         | Parameter: rack=6, trailer=0
125: left_stack_rack           | Parameter: rack=7, trailer=0
126: left_unstack_rack         | Parameter: rack=1, trailer=0
127: right_stack_rack          | Parameter: rack=5, trailer=2
128: left_stack_rack           | Parameter: rack=3, trailer=0
129: left_unstack_rack         | Parameter: rack=4, trailer=0
130: right_unstack_rack        | Parameter: rack=3, trailer=2
131: left_stack_rack           | Parameter: rack=3, trailer=0
